Setting logging level to DEBUG
2018-11-03 14:08:50.739+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Failed to connect to peer 0x158f8aab45f6d19c6cbf4a089c2670541a8da11978a2f90dbf6a502a4a3bab80d288afdbeb7ec0ef6d92de563767f3b1ea9e8e334ca711e9f8e2df5a0385e8e6: java.util.concurrent.TimeoutException: Timed out waiting to establish connection with peer: 0x158f8aab45f6d19c6cbf4a089c2670541a8da11978a2f90dbf6a502a4a3bab80d288afdbeb7ec0ef6d92de563767f3b1ea9e8e334ca711e9f8e2df5a0385e8e6
2018-11-03 14:08:50.739+01:00 | nioEventLoopGroup-3-1 | DEBUG | NettyP2PNetwork | Connections: 0 pending, 1 active connections.
2018-11-03 14:08:50.967+01:00 | EthScheduler-Workers | DEBUG | TransactionsMessageProcessor | Received transactions message from 0xefad3d812040e121ac...
2018-11-03 14:08:51.216+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Prepared ECIES handshake with node 0x580939823f8388a546a0b27de37e8e85... under INITIATOR role
2018-11-03 14:08:51.223+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | First ECIES handshake message under INITIATOR role: tech.pegasys.pantheon.ethereum.p2p.rlpx.handshake.ecies.InitiatorHandshakeMessageV4@666d5c3b
2018-11-03 14:08:51.338+01:00 | nioEventLoopGroup-3-1 | DEBUG | HandshakeHandlerOutbound | Wrote initial crypto handshake message to /158.69.113.211:30305.
2018-11-03 14:08:51.454+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Received responder's ECIES handshake message from node 0x580939823f8388a546a0b27de37e8e85...: tech.pegasys.pantheon.ethereum.p2p.rlpx.handshake.ecies.ResponderHandshakeMessageV4@32bd63a4
2018-11-03 14:08:51.458+01:00 | nioEventLoopGroup-3-1 | DEBUG | ECIESHandshaker | Handshake status set to SUCCESS
2018-11-03 14:08:51.458+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Sending framed hello
2018-11-03 14:08:51.459+01:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Successfully wrote hello message
